Date,Open,High,Low,Close
2000-03-31,43.42,43.6,43.41,43.55
2000-06-30,43.592,44.7,43.54,44.6
2000-09-30,44.6,46.25,44.6,45.9
2000-12-31,45.97,46.83,45.95,46.61
2001-03-31,46.66,46.713,46.29,46.607
2001-06-30,46.641,47.106,46.49,47.012
2001-09-30,47.018,48.431,47.001,47.826
2001-12-31,47.883,48.385,47.711,48.197
2002-03-31,48.293,48.895,48.011,48.758
2002-06-30,48.758,49.113,48.736,48.83
2002-09-30,48.859,48.906,48.305,48.319
2002-12-31,48.349,48.519,47.86,47.9
2003-03-31,48.027,48.03,47.373,47.559
2003-06-30,47.562,47.607,46.297,46.364
2003-09-30,46.362,46.511,45.647,45.652
2003-12-31,45.752,45.957,45.145,45.59
2004-03-31,45.5,45.71,43.3,43.3
2004-06-30,43.2,46.26,43.2,45.95
2004-09-30,45.94,46.495,45.58,45.9
2004-12-31,45.89,45.93,43.23,43.23
2005-03-31,43.37,44.08,43.24,43.68
2005-06-30,43.61,43.84,43.13,43.512
2005-09-30,43.52,44.17,43.36,43.92
2005-12-31,44.105,46.392,44.095,45.02
2006-03-31,45.071,45.093,43.995,44.619
2006-06-30,44.612,46.437,44.47,46.03
2006-09-30,45.977,47.05,45.82,45.92
2006-12-31,45.84,45.85,44.22,44.29
2007-03-31,44.21,44.66,43.09,43.51
2007-06-30,43.23,43.27,40.45,40.68
2007-09-30,40.66,41.87,39.69,39.73
2007-12-31,39.72,39.88,39.075,39.42
2008-03-31,39.41,40.82,39.25,39.94
2008-06-30,39.98,43.21,39.87,42.96
2008-09-30,43.085,47.7,41.82,47.18
2008-12-31,47.13,50.61,46.6,48.69
2009-03-31,48.96,52.16,48.23,50.84
2009-06-30,50.34,50.66,46.74,47.97
2009-09-30,48.09,49.43,47.46,47.79
2009-12-31,47.87,47.9,45.79,46.51
2010-03-31,46.48,46.86,44.89,44.96
2010-06-30,44.92,47.75,44.22,46.48
2010-09-30,46.73,47.35,44.83,44.83
2010-12-31,44.7,46.1,43.98,44.68
2011-03-31,44.69,46,44.5,44.56
2011-06-30,44.53,45.42,43.95,44.68
2011-09-30,44.63,49.82,43.84,49.09
2011-12-31,49.54,54.27,48.61,53.23
2012-03-31,53.28,53.31,48.61,50.86
2012-06-30,50.8,57.32,50.52,55.98
2012-09-30,55.57,56.45,52.52,52.66
2012-12-31,52.9,55.86,51.46,54.79
2013-03-31,54.47,55.4,52.9,54.37
2013-06-30,54.36,60.65,53.63,59.535
2013-09-30,59.32,68.63,58.68,62.56
2013-12-31,62.49,63.84,60.88,61.73
2014-03-31,61.79,63.34,59.75,59.76
2014-06-30,59.73,61.16,58.35,60.1
2014-09-30,60.14,61.75,59.51,61.75
2014-12-31,61.82,63.8,60.86,63.13
2015-03-31,63.36,63.64,61.26,62.565
2015-06-30,62.174,64.26,62.15,63.675
2015-09-30,63.675,66.855,63.315,65.7275
2015-12-31,65.56,67.12,64.713,66.1525
2016-03-31,66.375,68.78,66.17,66.2525
2016-06-30,66.3375,68.1475,66.07,67.53
2016-09-30,67.46,67.5025,66.325,66.6125
2016-12-31,66.4925,68.8525,66.3599,67.87
2017-03-31,67.9625,68.3799,64.8,64.8475
2017-06-30,64.77,65.1675,63.9525,64.66
2017-09-30,64.695,65.88,63.575,65.29
2017-12-31,65.53,65.63,63.78,63.8225
2018-03-31,63.7175,65.305,63.285,65.135
2018-06-30,65.085,69.0575,64.86,68.44
2018-09-30,68.9475,72.8975,68.27,72.565
2018-12-31,72.75,74.4425,69.59,69.8125
2019-03-31,69.67,71.774,68.45,69.27
2019-06-30,69.18,70.511,68.38,69.01
2019-09-30,68.894,72.36,68.32,70.7075
2019-12-31,70.765,72.112,70.522,71.324
2020-03-31,71.343,76.235,70.752,75.45
2020-06-30,75.84,76.916,74.935,75.5634
2020-09-30,75.51,75.6,72.755,73.7152
2020-12-31,73.6,74.897,73.0079,73.023
2021-03-31,72.99,73.773,72.258,73.105
2021-06-30,73.256,75.449,72.325,74.324
2021-09-30,74.37,74.946,72.916,74.2225
2021-12-31,74.333,76.357,73.851,74.293
2022-03-31,74.4225,77.1614,73.825,75.775
2022-06-30,75.8715,79.0355,75.3138,78.9955
2022-09-30,79.0775,81.9655,78.5105,81.3455
2022-12-31,81.7462,83.2675,80.5785,82.7005
2023-03-31,82.6275,83.085,81.0745,81.9685
