Date,Open,High,Low,Close
2008-12-31,50.06,50.61,46.83,48.69
2009-01-31,48.96,49.28,48.23,48.97
2009-02-28,49.02,50.96,48.54,50.92
2009-03-31,51.61,52.16,50.06,50.84
2009-04-30,50.34,50.66,49.33,50.09
2009-05-31,49.65,50.06,47.05,47.27
2009-06-30,47.02,48.93,46.74,47.97
2009-07-31,48.09,49.43,47.74,48.16
2009-08-31,47.86,49.12,47.46,48.79
2009-09-30,48.73,49.15,47.79,47.79
2009-10-31,47.87,47.9,45.79,46.97
2009-11-30,47.04,47.37,46.02,46.43
2009-12-31,46.44,46.97,46.08,46.51
2010-01-31,46.48,46.53,45.28,46.22
2010-02-28,46.34,46.86,45.94,46.13
2010-03-31,46.05,46.09,44.89,44.96
2010-04-30,44.92,44.93,44.22,44.41
2010-05-31,44.58,47.75,44.48,46.46
2010-06-30,46.59,47.4,45.58,46.48
2010-07-31,46.73,47.35,46.42,46.56
2010-08-31,46.13,47.08,45.96,47
2010-09-30,46.9,46.94,44.83,44.83
2010-10-31,44.7,44.78,43.98,44.54
2010-11-30,44.45,46.1,44.18,45.97
2010-12-31,45.74,45.74,44.67,44.68
2011-01-31,44.69,46,44.64,45.94
2011-02-28,45.83,45.87,45.05,45.24
2011-03-31,45.14,45.32,44.5,44.56
2011-04-30,44.53,44.69,43.95,44.29
2011-05-31,44.34,45.42,44.26,45.03
2011-06-30,44.96,45.11,44.57,44.68
2011-07-31,44.63,44.75,43.84,44.18
2011-08-31,44.04,46.2,44.03,46.06
2011-09-30,45.93,49.82,45.87,49.09
2011-10-31,49.54,50.31,48.61,48.73
2011-11-30,49.06,52.73,49.04,52.37
2011-12-31,51.75,54.27,51.2,53.23
2012-01-31,53.28,53.31,49.3,49.39
2012-02-29,49.56,49.75,48.61,48.98
2012-03-31,49.14,51.48,49.11,50.86
2012-04-30,50.8,52.86,50.52,52.59
2012-05-31,52.63,56.49,52.63,56.1
2012-06-30,55.9,57.32,54.96,55.98
2012-07-31,55.57,56.45,54.18,55.51
2012-08-31,55.6,56.19,54.94,55.66
2012-09-30,55.4,56.03,52.52,52.66
2012-10-31,52.9,54.23,51.46,53.82
2012-11-30,53.73,55.86,53.65,54.4
2012-12-31,54.46,55.29,54.04,54.79
2013-01-31,54.47,55.4,53.11,53.17
2013-02-28,53.29,54.63,52.9,54.44
2013-03-31,54.58,55.13,53.94,54.37
2013-04-30,54.36,54.9,53.72,53.8
2013-05-31,53.69,56.82,53.63,56.581
2013-06-30,56.46,60.65,56.33,59.535
2013-07-31,59.32,61.24,58.68,60.92
2013-08-31,60.62,68.63,60.35,66.28
2013-09-30,65.98,68.16,61.45,62.56
2013-10-31,62.49,62.49,60.88,61.45
2013-11-30,61.91,63.84,61.65,62.46
2013-12-31,62.2,62.46,60.94,61.73
2014-01-31,61.79,63.34,61.3,62.65
2014-02-28,62.62,62.79,61.77,61.94
2014-03-31,61.89,62.1,59.75,59.76
2014-04-30,59.73,61.16,59.6,60.25
2014-05-31,60.13,60.24,58.35,59.1
2014-06-30,59.25,60.45,58.97,60.1
2014-07-31,60.14,60.53,59.51,60.48
2014-08-31,60.75,61.75,60.37,60.5
2014-09-30,60.51,61.75,60.17,61.75
2014-10-31,61.82,61.95,60.86,61.37
2014-11-30,61.46,62.18,61.3,62.02
2014-12-31,62.17,63.8,61.81,63.13
2015-01-31,63.36,63.64,61.26,62.01
2015-02-28,61.84,62.48,61.65,61.8
2015-03-31,61.82,62.983,61.804,62.565
2015-04-30,62.174,63.703,62.15,63.648
2015-05-31,63.545,64.26,63.336,63.815
2015-06-30,63.735,64.244,63.468,63.675
2015-07-31,63.675,64.185,63.315,64.123
2015-08-31,63.983,66.753,63.724,66.394
2015-09-30,66.405,66.855,65.56,65.7275
2015-10-31,65.56,65.668,64.713,65.3275
2015-11-30,65.508,66.825,65.423,66.65
2015-12-31,66.48,67.12,66.09,66.1525
2016-01-31,66.375,68.22,66.375,67.87
2016-02-29,67.6475,68.78,67.59,68.42
2016-03-31,68.3,68.3,66.17,66.2525
2016-04-30,66.3375,66.84,66.07,66.485
2016-05-31,66.32,67.745,66.23,67.17
2016-06-30,67.215,68.1475,66.555,67.53
2016-07-31,67.46,67.5025,66.825,67.04
2016-08-31,66.73,67.235,66.649,66.98
2016-09-30,66.985,67.1325,66.325,66.6125
2016-10-31,66.4925,66.9799,66.4,66.835
2016-11-30,66.7179,68.8525,66.3599,68.4599
2016-12-31,68.5799,68.5799,67.3179,67.87
2017-01-31,67.9625,68.3799,67.7529,67.8475
2017-02-28,67.8,67.8,66.675,66.72
2017-03-31,66.725,66.89,64.8,64.8475
2017-04-30,64.77,65.1675,63.9525,64.275
2017-05-31,64.155,65.01,63.995,64.51
2017-06-30,64.43,64.83,64.2,64.66
2017-07-31,64.695,64.8825,64.06,64.1425
2017-08-31,64.07,64.3225,63.575,63.955
2017-09-30,63.89,65.88,63.79,65.29
2017-10-31,65.53,65.63,64.695,64.765
2017-11-30,64.58,65.54,64.2775,64.485
2017-12-31,64.48,64.5975,63.78,63.8225
2018-01-31,63.7175,64.105,63.285,63.595
2018-02-28,63.6825,65.305,63.55,65.145
2018-03-31,65.15,65.24,64.7475,65.135
2018-04-30,65.085,66.87,64.86,66.745
2018-05-31,66.6775,68.4125,66.54,67.43
2018-06-30,67.22,69.0575,66.945,68.44
2018-07-31,68.9475,69.0825,68.27,68.625
2018-08-31,68.5175,70.98,68.3275,70.89
2018-09-30,70.805,72.8975,70.735,72.565
2018-10-31,72.75,74.4425,72.72,73.9475
2018-11-30,73.8,73.845,69.59,69.6925
2018-12-31,70.005,72.18,69.74,69.8125
2019-01-31,69.67,71.456,69.33,71.142
2019-02-28,71.191,71.774,70.52,71.093
2019-03-31,70.809,70.984,68.45,69.27
2019-04-30,69.18,70.287,68.38,69.7575
2019-05-31,69.593,70.511,69.191,69.814
2019-06-30,69.435,69.9028,68.8561,69.01
2019-07-31,68.894,69.085,68.32,68.7897
2019-08-31,69.088,72.245,68.9942,71.54
2019-09-30,72.035,72.36,70.57,70.7075
2019-10-31,70.765,71.7175,70.7,70.98
2019-11-30,70.94,72.112,70.642,71.73
2019-12-31,71.71,71.805,70.522,71.324
2020-01-31,71.343,72.115,70.752,71.35
2020-02-29,71.52,72.265,71.09,72.157
2020-03-31,72.24,76.235,72.025,75.45
2020-04-30,75.84,76.916,74.935,75.097
2020-05-31,75.622,76.046,75.265,75.514
2020-06-30,75.335,76.3202,75.0074,75.5634
2020-07-31,75.51,75.6,74.515,74.789
2020-08-31,74.905,75.2043,73.2,73.574
2020-09-30,73.18,73.971,72.755,73.7152
2020-10-31,73.6,74.471,73.02,74.455
2020-11-30,74.425,74.897,73.715,73.9622
2020-12-31,73.6,74.096,73.0079,73.023
2021-01-31,72.99,73.509,72.7878,72.9036
2021-02-28,72.87,73.773,72.258,73.738
2021-03-31,73.34,73.601,72.27,73.105
2021-04-30,73.256,75.449,73.205,74.075
2021-05-31,74.24,74.315,72.325,72.6175
2021-06-30,72.555,74.465,72.53,74.324
2021-07-31,74.37,74.946,74.223,74.41
2021-08-31,74.375,74.483,72.962,72.996
2021-09-30,73.045,74.355,72.916,74.2225
2021-10-31,74.333,75.655,74.11,74.9
2021-11-30,74.911,75.194,73.851,75.119
2021-12-31,74.838,76.357,74.1,74.293
2022-01-31,74.4225,75.305,73.825,74.667
2022-02-28,74.56,75.773,74.326,75.313
2022-03-31,75.3153,77.1614,75.2359,75.775
2022-04-30,75.8715,76.7785,75.3138,76.4175
2022-05-31,76.4725,77.8805,75.9925,77.6562
2022-06-30,77.6025,79.0355,77.5125,78.9955
2022-07-31,79.0775,80.0425,78.8715,79.2655
2022-08-31,79.2165,80.1075,78.5105,79.4555
2022-09-30,79.5185,81.9655,79.0175,81.3455
2022-10-31,81.7462,83.2675,81.3575,82.7935
2022-11-30,82.6925,82.9535,80.5785,81.3925
2022-12-31,81.1125,82.9275,81.0565,82.7005
2023-01-31,82.6275,83.085,81.0745,81.9305
2023-02-28,81.8765,82.9365,81.6788,82.5775
2023-03-31,82.5025,82.6255,81.9175,81.9685
